time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-7.16989081206e-07,-6.19929868535e-08,10.0019545328,6.28307941403,0.00058859567019,0.0,-5.72265472199e-05,-6.94548373111e-06,0.0651489962683,-0.00555177942519,0.0244488411019,0.0,424.54033058142255,426.6325003837562,426.04797986039307,425.5731677107748
0.12000000000000001,-1.97751959468e-05,-3.55835342705e-06,10.0064594534,6.2823824151,0.00180476216738,0.0,-0.000700495950242,-0.000152271405093,0.0850133902488,-0.0279127266839,0.0102256572821,0.0,411.15606087858646,409.8942573081293,411.85759344422394,409.87552972546285
0.18,-0.000103381545028,-3.66205746068e-05,10.0156083393,6.28092873993,0.00232189269117,0.0,-0.00214717170106,-0.00111651692787,0.219932006788,-0.0177242098007,0.00519419245489,0.0,448.34509355631593,447.93607020103565,447.16214865973126,447.9911187066977
0.23999999999999996,-0.000278110117499,-0.000150975415166,10.0304373798,6.27951347607,0.00262310423007,0.0,-0.00370627996149,-0.00280970584439,0.27435698961,-0.0391319814025,0.00466988571484,0.0,423.2766745554785,423.2314704563517,422.1778607262209,420.32681991903826
0.3,-0.000559509172018,-0.00040916364798,10.0513037631,6.27785985484,0.00251710255407,0.0,-0.00568837438263,-0.00600717482357,0.421144850942,-0.011010480997,-0.0195148606823,0.0,452.6129042919267,450.66264959674794,450.43418469403156,452.7019664166744
0.36000000000000004,-0.000943521533011,-0.000870679643162,10.0774893095,6.27733044623,0.000980388894065,0.0,-0.00699171078056,-0.00943091447556,0.451694787803,-0.00477359051996,-0.0420269446661,0.0,414.80382150427846,412.82218718323804,414.86830769867595,415.41559085324945
0.4200000000000001,-0.00137228302235,-0.00154097905215,10.1045980368,6.27684683207,6.28186243906,0.0,-0.00709062929706,-0.0129451417372,0.451929200767,-0.0156126549876,-0.0319559108585,0.0,403.78609117367415,404.6925616330711,404.71332176681346,403.7368111844186
0.48000000000000015,-0.0017623932985,-0.00246207007649,10.1362213718,6.27555574913,6.28106333173,0.0,-0.00578024022386,-0.0178751123886,0.602113263831,-0.0372167178218,0.00957860427903,0.0,450.76045721585547,454.10394547708347,454.00283510463476,452.2663252835108
0.5400000000000001,-0.0020678622554,-0.00369982033196,10.1752224584,6.27312285871,6.28168478617,0.0,-0.00446284210056,-0.0236182988871,0.697866954191,-0.0482175701117,0.0118716924342,0.0,435.0092320721933,435.20105897259185,437.25316170193463,436.3349514734389
0.6000000000000002,-0.00230932087324,-0.00531989128632,10.2186309279,6.2706616244,6.28205587644,0.0,-0.00364051532782,-0.0306347275999,0.749046776223,-0.0295378878939,-0.00872446476752,0.0,423.2900363281692,421.514073533062,420.0919930886188,421.7073124268468
0.6600000000000003,-0.00249876971472,-0.00746899878012,10.2701998706,6.26958814135,6.28207538996,0.0,-0.00264962392652,-0.0411627626251,0.969754524837,-0.00126244106029,0.0140885901567,0.0,473.74889928492894,475.49954369874183,472.8329428697391,475.00596655330736
0.7200000000000003,-0.0026359578287,-0.010253498343,10.3338405966,6.26939720646,6.28314265229,0.0,-0.00203357396209,-0.0516665938255,1.15143726433,-0.0073288024141,0.0243141665221,0.0,461.99520377179783,462.80057690222424,463.982221253076,463.5058340659794
0.7800000000000004,-0.00276410781188,-0.0136940540602,10.4098425172,6.26923128492,0.00181587663356,0.0,-0.002442281983,-0.0630504280451,1.38170974849,0.00507911854734,0.0417599564112,0.0,477.48934103114215,478.81849170139753,476.9402872948175,477.8869605993998
0.8400000000000004,-0.00295923459237,-0.0177639712694,10.4957223711,6.26915911739,0.00534370899677,0.0,-0.00438167675249,-0.0725954017893,1.48082779439,-0.0183365449019,0.0804117972534,0.0,436.5616980233775,439.77684545410875,439.88318335997434,437.9400500065087
0.9000000000000005,-0.00334948671256,-0.0224071626525,10.5871180069,6.26823542926,0.0110932565813,0.0,-0.00916398791802,-0.0822764970863,1.56557537429,-0.0100797093513,0.11605148751,0.0,432.88228718525124,435.8782456879365,433.7581956198821,434.4510724168365
0.9600000000000005,-0.0042322528665,-0.0277487691132,10.6902850667,6.26717074539,0.0177338850188,0.0,-0.0211624606738,-0.0958703425221,1.87286142437,-0.0410832769094,0.0968752598145,0.0,501.66221876490056,500.27715098199883,501.575166615946,499.3186710487612
1.0200000000000005,-0.00588657124761,-0.0338378010827,10.8054417467,6.26483114602,0.0234468639748,0.0,-0.0345603526889,-0.107336872534,1.96552329757,-0.0351116100741,0.0916757635506,0.0,436.9295628201711,436.5037726858049,439.1798676901685,439.6740811934032
1.0800000000000005,-0.00850368298141,-0.040693960867,10.9279130871,6.26305677594,0.0291492414334,0.0,-0.0532845903864,-0.121407232515,2.11656643236,-0.0203202181279,0.101033010506,0.0,456.6189217080915,457.37210762942937,455.6431426390653,456.8237681964845
1.1400000000000006,-0.0121851691207,-0.0483040230362,11.05323573,6.26195028059,0.0354697054466,0.0,-0.0699246195454,-0.132355200386,2.06093863625,-0.0149270096212,0.112797198895,0.0,388.2755551746102,389.38898092375854,389.31904912190146,389.8233255650934
1.2000000000000006,-0.0172649323512,-0.0567599923358,11.1832591447,6.2609127224,0.0430997878086,0.0,-0.100250737538,-0.149615564763,2.2727407016,-0.0225017320284,0.146449671071,0.0,474.23001457082916,476.8206999952444,475.2395393396629,474.6587114472837
